"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Markdown", "TypeScript JSX", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"c:\MiningQwQMusic\src\lib\home-grid.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\MiningQwQMusic\src\lib\http.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 9, 72
"c:\MiningQwQMusic\src\lib\lyrics.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\MiningQwQMusic\src\lib\music\adapter.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"c:\MiningQwQMusic\src\lib\music\providers\mock.ts", "TypeScript", 260, 0, 0, 0, 0, 0, 0, 0, 0, 22, 282
"c:\MiningQwQMusic\src\lib\music\providers\netease-like.ts", "TypeScript", 869, 0, 0, 0, 0, 0, 0, 0, 1, 92, 962
"c:\MiningQwQMusic\src\lib\music\service.ts", "TypeScript", 185, 0, 0, 0, 0, 0, 0, 0, 0, 22, 207
"c:\MiningQwQMusic\src\lib\playback-guard.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 9, 59
"c:\MiningQwQMusic\src\lib\player-ui.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\MiningQwQMusic\src\lib\playlist-import.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\MiningQwQMusic\src\lib\theme-preference.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\MiningQwQMusic\src\lib\trace.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\MiningQwQMusic\src\store\player-store.ts", "TypeScript", 218, 0, 0, 0, 0, 0, 0, 0, 0, 13, 231
"c:\MiningQwQMusic\src\types\music.ts", "TypeScript", 175, 0, 0, 0, 0, 0, 0, 0, 0, 28, 203
"c:\MiningQwQMusic\tests\e2e\home.spec.ts", "TypeScript", 188, 0, 0, 0, 0, 0, 0, 0, 0, 21, 209
"c:\MiningQwQMusic\tests\integration\music-discover-routes.test.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\MiningQwQMusic\tests\integration\music-search-artists-route.test.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\MiningQwQMusic\tests\integration\music-search-route.test.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\MiningQwQMusic\tests\integration\music-track-insight-route.test.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\MiningQwQMusic\tests\unit\detail-palette-transition.test.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 11, 73
"c:\MiningQwQMusic\tests\unit\discover-action.test.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 4, 57
"c:\MiningQwQMusic\tests\unit\home-grid.test.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\MiningQwQMusic\tests\unit\lyrics.test.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\MiningQwQMusic\tests\unit\mock-adapter.test.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\MiningQwQMusic\tests\unit\netease-adapter.test.ts", "TypeScript", 326, 0, 0, 0, 0, 0, 0, 0, 0, 30, 356
"c:\MiningQwQMusic\tests\unit\playback-guard.test.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 8, 74
"c:\MiningQwQMusic\tests\unit\player-controller-regression.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 118, 0, 0, 0, 0, 23, 141
"c:\MiningQwQMusic\tests\unit\player-store.test.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 11, 105
"c:\MiningQwQMusic\tests\unit\player-ui.test.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\MiningQwQMusic\tests\unit\playlist-import.test.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\MiningQwQMusic\tests\unit\theme-preference.test.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\MiningQwQMusic\tsconfig.json", "JSON with Comments", 0, 0, 45, 0, 0, 0, 0, 0, 0, 1, 46
"c:\MiningQwQMusic\vitest.config.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\MiningQwQMusic\vitest.setup.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"Total", "-", 4481, 8591, 48, 163, 2827, 70, 3370, 39, 18, 1420, 21027
