"filename", "language", "JSON", "TypeScript", "TypeScript JSX", "Log", "JavaScript", "Markdown", "PostCSS", "PowerShell", "Shell Script", "HTML", "Properties", "comment", "blank", "total"
"c:\MiningQwQMusic\src\lib\music-unblock-grace.ts", "TypeScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 84
"c:\MiningQwQMusic\src\lib\music\adapter.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MiningQwQMusic\src\lib\music\providers\mock.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\MiningQwQMusic\src\lib\music\providers\netease-like.ts", "TypeScript", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 88
"c:\MiningQwQMusic\src\lib\music\service.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MiningQwQMusic\src\lib\player-ui.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68
"c:\MiningQwQMusic\src\lib\playlist-import.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\MiningQwQMusic\src\lib\shell-chrome.ts", "TypeScript", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 182
"c:\MiningQwQMusic\src\lib\user-facing-error.ts", "TypeScript", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 130
"c:\MiningQwQMusic\src\store\auth-store.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 89
"c:\MiningQwQMusic\src\store\friend-store.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"c:\MiningQwQMusic\src\store\listen-together-store.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"c:\MiningQwQMusic\src\store\player-store.ts", "TypeScript", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101
"c:\MiningQwQMusic\src\types\account.ts", "TypeScript", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 176
"c:\MiningQwQMusic\src\types\music.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\MiningQwQMusic\tests\e2e\home.spec.ts", "TypeScript", 0, 1436, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 1539
"c:\MiningQwQMusic\tests\e2e\site-assets.spec.ts", "TypeScript", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 113
"c:\MiningQwQMusic\tests\integration\account-proxy-route.test.ts", "TypeScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 96
"c:\MiningQwQMusic\tests\integration\music-discover-routes.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
