Date : 2026-06-15 21:58:34
Directory : c:\MiningQwQMusic
Total : 74 files,  12488 codes, 11 comments, 1423 blanks, all 13922 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript     |         43 |      5,299 |          5 |        614 |      5,918 |
| TypeScript JSX |          5 |      3,976 |          2 |        273 |      4,251 |
| PostCSS        |          2 |      2,099 |          0 |        356 |      2,455 |
| Markdown       |         10 |        508 |          0 |         98 |        606 |
| JavaScript     |          3 |        194 |          0 |         33 |        227 |
| Log            |          3 |        155 |          0 |          9 |        164 |
| PowerShell     |          1 |         89 |          0 |         14 |        103 |
| Shell Script   |          1 |         64 |          1 |         14 |         79 |
| HTML           |          1 |         43 |          0 |          1 |         44 |
| Properties     |          1 |         34 |          3 |         11 |         48 |
| JSON           |          4 |         27 |          0 |          0 |         27 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                        |         74 |     12,488 |         11 |      1,423 |     13,922 |
| . (Files)                                                                |          6 |        186 |          0 |         12 |        198 |
| .VSCodeCounter                                                           |         10 |        412 |          0 |         52 |        464 |
| .VSCodeCounter\2026-05-21_21-41-52                                       |          5 |        132 |          0 |         26 |        158 |
| .VSCodeCounter\2026-05-25_22-09-46                                       |          5 |        280 |          0 |         26 |        306 |
| app                                                                      |          7 |      2,289 |          0 |        376 |      2,665 |
| app (Files)                                                              |          4 |      2,001 |          0 |        337 |      2,338 |
| app\api                                                                  |          3 |        288 |          0 |         39 |        327 |
| app\api\account                                                          |          1 |        142 |          0 |         20 |        162 |
| app\api\account\[...path]                                                |          1 |        142 |          0 |         20 |        162 |
| app\api\music                                                            |          2 |        146 |          0 |         19 |        165 |
| app\api\music\playlist                                                   |          1 |         65 |          0 |         13 |         78 |
| app\api\music\playlist\resolve                                           |          1 |         65 |          0 |         13 |         78 |
| app\api\music\track                                                      |          1 |         81 |          0 |          6 |         87 |
| app\api\music\track\[id]                                                 |          1 |         81 |          0 |          6 |         87 |
| app\api\music\track\[id]\play-url                                        |          1 |         81 |          0 |          6 |         87 |
| docs                                                                     |          1 |         88 |          0 |         43 |        131 |
| ops                                                                      |          3 |        187 |          4 |         39 |        230 |
| ops\nginx                                                                |          1 |         34 |          3 |         11 |         48 |
| ops\scripts                                                              |          2 |        153 |          1 |         28 |        182 |
| public                                                                   |          5 |        410 |          0 |         59 |        469 |
| public (Files)                                                           |          2 |         33 |          0 |          0 |         33 |
| public\desktop-shell                                                     |          3 |        377 |          0 |         59 |        436 |
| src                                                                      |         23 |      5,612 |          7 |        475 |      6,094 |
| src\components                                                           |          2 |      3,563 |          2 |        203 |      3,768 |
| src\hooks                                                                |          1 |        161 |          4 |         17 |        182 |
| src\lib                                                                  |         14 |      1,452 |          1 |        202 |      1,655 |
| src\lib (Files)                                                          |         10 |      1,357 |          1 |        192 |      1,550 |
| src\lib\music                                                            |          4 |         95 |          0 |         10 |        105 |
| src\lib\music (Files)                                                    |          2 |          2 |          0 |          0 |          2 |
| src\lib\music\providers                                                  |          2 |         93 |          0 |         10 |        103 |
| src\store                                                                |          4 |        266 |          0 |         21 |        287 |
| src\types                                                                |          2 |        170 |          0 |         32 |        202 |
| tests                                                                    |         19 |      3,304 |          0 |        367 |      3,671 |
| tests\e2e                                                                |          2 |      1,536 |          0 |        116 |      1,652 |
| tests\integration                                                        |          4 |        291 |          0 |         48 |        339 |
| tests\unit                                                               |         13 |      1,477 |          0 |        203 |      1,680 |
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                 | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\MiningQwQMusic\.VSCodeCounter\2026-05-21_21-41-52\details.md          | Markdown       |         57 |          0 |          6 |         63 |
| c:\MiningQwQMusic\.VSCodeCounter\2026-05-21_21-41-52\diff-details.md     | Markdown       |          9 |          0 |          6 |         15 |
| c:\MiningQwQMusic\.VSCodeCounter\2026-05-21_21-41-52\diff.md             | Markdown       |         12 |          0 |          7 |         19 |
| c:\MiningQwQMusic\.VSCodeCounter\2026-05-21_21-41-52\results.json        | JSON           |          1 |          0 |          0 |          1 |
| c:\MiningQwQMusic\.VSCodeCounter\2026-05-21_21-41-52\results.md          | Markdown       |         53 |          0 |          7 |         60 |
| c:\MiningQwQMusic\.VSCodeCounter\2026-05-25_22-09-46\details.md          | Markdown       |         89 |          0 |          6 |         95 |
| c:\MiningQwQMusic\.VSCodeCounter\2026-05-25_22-09-46\diff-details.md     | Markdown       |         55 |          0 |          6 |         61 |
| c:\MiningQwQMusic\.VSCodeCounter\2026-05-25_22-09-46\diff.md             | Markdown       |         61 |          0 |          7 |         68 |
| c:\MiningQwQMusic\.VSCodeCounter\2026-05-25_22-09-46\results.json        | JSON           |          1 |          0 |          0 |          1 |
| c:\MiningQwQMusic\.VSCodeCounter\2026-05-25_22-09-46\results.md          | Markdown       |         74 |          0 |          7 |         81 |
| c:\MiningQwQMusic\README.md                                              | Markdown       |         10 |          0 |          3 |         13 |
| c:\MiningQwQMusic\app\api\account\[...path]\route.ts                     | TypeScript     |        142 |          0 |         20 |        162 |
| c:\MiningQwQMusic\app\api\music\playlist\resolve\route.ts                | TypeScript     |         65 |          0 |         13 |         78 |
| c:\MiningQwQMusic\app\api\music\track\[id]\play-url\route.ts             | TypeScript     |         81 |          0 |          6 |         87 |
| c:\MiningQwQMusic\app\globals.css                                        | PostCSS        |      1,930 |          0 |        331 |      2,261 |
| c:\MiningQwQMusic\app\layout.tsx                                         | TypeScript JSX |         42 |          0 |          1 |         43 |
| c:\MiningQwQMusic\app\robots.ts                                          | TypeScript     |         11 |          0 |          2 |         13 |
| c:\MiningQwQMusic\app\sitemap.ts                                         | TypeScript     |         18 |          0 |          3 |         21 |
| c:\MiningQwQMusic\devserver.log                                          | Log            |        137 |          0 |          4 |        141 |
| c:\MiningQwQMusic\docs\echo-subdomain-deploy.md                          | Markdown       |         88 |          0 |         43 |        131 |
| c:\MiningQwQMusic\next-dev.err.log                                       | Log            |          0 |          0 |          1 |          1 |
| c:\MiningQwQMusic\next-dev.log                                           | Log            |         18 |          0 |          4 |         22 |
| c:\MiningQwQMusic\next.config.mjs                                        | JavaScript     |         20 |          0 |          0 |         20 |
| c:\MiningQwQMusic\ops\nginx\echo.miningqwq.cn.conf                       | Properties     |         34 |          3 |         11 |         48 |
| c:\MiningQwQMusic\ops\scripts\verify-echo-subdomain.ps1                  | PowerShell     |         89 |          0 |         14 |        103 |
| c:\MiningQwQMusic\ops\scripts\verify-echo-subdomain.sh                   | Shell Script   |         64 |          1 |         14 |         79 |
| c:\MiningQwQMusic\public\desktop-shell\index.html                        | HTML           |         43 |          0 |          1 |         44 |
| c:\MiningQwQMusic\public\desktop-shell\shell.css                         | PostCSS        |        169 |          0 |         25 |        194 |
| c:\MiningQwQMusic\public\desktop-shell\shell.js                          | JavaScript     |        165 |          0 |         33 |        198 |
| c:\MiningQwQMusic\public\manifest.webmanifest                            | JSON           |         24 |          0 |          0 |         24 |
| c:\MiningQwQMusic\public\sw.js                                           | JavaScript     |          9 |          0 |          0 |          9 |
| c:\MiningQwQMusic\src\components\player-app.tsx                          | TypeScript JSX |      3,510 |          2 |        198 |      3,710 |
| c:\MiningQwQMusic\src\components\user-avatar.tsx                         | TypeScript JSX |         53 |          0 |          5 |         58 |
| c:\MiningQwQMusic\src\hooks\use-player-controller.ts                     | TypeScript     |        161 |          4 |         17 |        182 |
| c:\MiningQwQMusic\src\lib\account-client.ts                              | TypeScript     |        527 |          0 |         61 |        588 |
| c:\MiningQwQMusic\src\lib\client-api.ts                                  | TypeScript     |         66 |          0 |          4 |         70 |
| c:\MiningQwQMusic\src\lib\cloud-sync.ts                                  | TypeScript     |         20 |          0 |          6 |         26 |
| c:\MiningQwQMusic\src\lib\desktop-host.ts                                | TypeScript     |        302 |          1 |         51 |        354 |
| c:\MiningQwQMusic\src\lib\image-url.ts                                   | TypeScript     |         33 |          0 |          5 |         38 |
| c:\MiningQwQMusic\src\lib\music-unblock-grace.ts                         | TypeScript     |         71 |          0 |         13 |         84 |
| c:\MiningQwQMusic\src\lib\music\adapter.ts                               | TypeScript     |          1 |          0 |          0 |          1 |
| c:\MiningQwQMusic\src\lib\music\providers\mock.ts                        | TypeScript     |         15 |          0 |          0 |         15 |
| c:\MiningQwQMusic\src\lib\music\providers\netease-like.ts                | TypeScript     |         78 |          0 |         10 |         88 |
| c:\MiningQwQMusic\src\lib\music\service.ts                               | TypeScript     |          1 |          0 |          0 |          1 |
| c:\MiningQwQMusic\src\lib\player-ui.ts                                   | TypeScript     |         61 |          0 |          7 |         68 |
| c:\MiningQwQMusic\src\lib\playlist-import.ts                             | TypeScript     |          8 |          0 |          2 |         10 |
| c:\MiningQwQMusic\src\lib\shell-chrome.ts                                | TypeScript     |        154 |          0 |         28 |        182 |
| c:\MiningQwQMusic\src\lib\user-facing-error.ts                           | TypeScript     |        115 |          0 |         15 |        130 |
| c:\MiningQwQMusic\src\store\auth-store.ts                                | TypeScript     |         82 |          0 |          7 |         89 |
| c:\MiningQwQMusic\src\store\friend-store.ts                              | TypeScript     |         48 |          0 |          7 |         55 |
| c:\MiningQwQMusic\src\store\listen-together-store.ts                     | TypeScript     |         35 |          0 |          7 |         42 |
| c:\MiningQwQMusic\src\store\player-store.ts                              | TypeScript     |        101 |          0 |          0 |        101 |
| c:\MiningQwQMusic\src\types\account.ts                                   | TypeScript     |        148 |          0 |         28 |        176 |
| c:\MiningQwQMusic\src\types\music.ts                                     | TypeScript     |         22 |          0 |          4 |         26 |
| c:\MiningQwQMusic\tests\e2e\home.spec.ts                                 | TypeScript     |      1,436 |          0 |        103 |      1,539 |
| c:\MiningQwQMusic\tests\e2e\site-assets.spec.ts                          | TypeScript     |        100 |          0 |         13 |        113 |
| c:\MiningQwQMusic\tests\integration\account-proxy-route.test.ts          | TypeScript     |         80 |          0 |         16 |         96 |
| c:\MiningQwQMusic\tests\integration\music-discover-routes.test.ts        | TypeScript     |          0 |          0 |         -1 |         -1 |
| c:\MiningQwQMusic\tests\integration\music-play-url-route.test.ts         | TypeScript     |        157 |          0 |         24 |        181 |
| c:\MiningQwQMusic\tests\integration\music-playlist-resolve-route.test.ts | TypeScript     |         54 |          0 |          9 |         63 |
| c:\MiningQwQMusic\tests\unit\account-client.test.ts                      | TypeScript     |        540 |          0 |         37 |        577 |
| c:\MiningQwQMusic\tests\unit\cloud-sync.test.ts                          | TypeScript     |         18 |          0 |          4 |         22 |
